,date,id,intensidadeVentoKM,temperatura,radiacao,idDireccVento,precAcumulada,intensidadeVento,humidade,pressao,local,lon,lat
233,2023-03-09T09:00,6212126,32.8,14.2,64.8,6.0,7.2,9.1,92.0,1010.7,Esposende (CIM),-8.77984444,41.52645556
234,2023-03-09T13:00,6212126,25.9,15.4,2059.2,5.0,0.0,7.2,91.0,1014.5,Esposende (CIM),-8.77984444,41.52645556
235,2023-03-09T17:00,6212126,21.6,15.2,711.6,6.0,0.0,6.0,90.0,1016.3,Esposende (CIM),-8.77984444,41.52645556
236,2023-03-08T21:00,6212126,17.6,15.0,3.6,5.0,0.0,4.9,96.0,1011.1,Esposende (CIM),-8.77984444,41.52645556
237,2023-03-09T11:00,6212126,8.3,12.0,403.8,6.0,3.4,2.3,95.0,1012.8,Esposende (CIM),-8.77984444,41.52645556
238,2023-03-09T06:00,6212126,23.4,14.2,3.6,5.0,0.0,6.5,92.0,1010.3,Esposende (CIM),-8.77984444,41.52645556
239,2023-03-09T03:00,6212126,12.2,14.2,3.6,5.0,0.0,3.4,95.0,1010.8,Esposende (CIM),-8.77984444,41.52645556
240,2023-03-09T01:00,1200560,7.2,11.5,-99.0,6.0,0.0,2.0,100.0,1012.4,Viseu (C.Coordenação),-7.89592222,40.71492222
241,2023-03-09T07:00,1200560,21.6,10.2,-99.0,6.0,0.0,6.0,100.0,1013.7,Viseu (C.Coordenação),-7.89592222,40.71492222
242,2023-03-08T23:00,1200560,9.0,11.4,-99.0,6.0,0.0,2.5,100.0,1013.4,Viseu (C.Coordenação),-7.89592222,40.71492222
243,2023-03-08T19:00,1200560,20.5,12.4,-99.0,7.0,0.3,5.7,100.0,1012.2,Viseu (C.Coordenação),-7.89592222,40.71492222
244,2023-03-09T05:00,1200560,19.4,10.5,-99.0,6.0,0.0,5.4,100.0,1012.7,Viseu (C.Coordenação),-7.89592222,40.71492222
245,2023-03-09T00:00,1200560,8.6,11.2,-99.0,6.0,0.0,2.4,100.0,1013.0,Viseu (C.Coordenação),-7.89592222,40.71492222
246,2023-03-09T04:00,1200560,12.6,10.7,-99.0,6.0,0.1,3.5,100.0,1012.6,Viseu (C.Coordenação),-7.89592222,40.71492222
247,2023-03-08T20:00,1200560,28.1,12.1,-99.0,7.0,0.2,7.8,100.0,1012.5,Viseu (C.Coordenação),-7.89592222,40.71492222
